p,atr_p,mult,supertrend_atr,supertrend_factor,atrnowinput,atrAvginput,volatilityMultiplier,bodyratioMult,structureLookback,bufferMult,maxSlDistance,isStrongTrendMult
6,6,0.29,5,1.39,2,9,0.54,0.65,30,1.19,90.87,10
8,4,0.44,6,1.43,4,8,0.9,0.68,32,0.46,37.6,9
9,6,0.34,6,1.45,2,8,0.53,0.62,28,0.43,110.16,15
7,5,0.43,5,1.36,4,8,0.55,0.6,32,0.8,57.05,13
9,6,0.26,5,1.27,2,14,1.0,0.79,23,0.48,52.43,17
8,5,0.53,7,1.71,4,9,0.65,0.87,22,1.18,69.72,11
7,6,0.51,4,1.3,3,14,0.95,0.89,26,0.95,70.92,12
9,6,0.57,5,1.69,2,8,0.6,0.63,30,0.93,64.33,15
10,4,0.43,6,1.7,3,12,0.53,0.84,32,0.35,118.0,13
8,3,0.42,4,1.87,4,9,0.56,0.74,22,1.13,74.28,14
7,3,0.29,5,1.44,2,9,0.68,0.66,27,0.4,70.55,19
7,5,0.49,6,1.49,4,12,0.89,0.78,23,0.95,13.78,11
7,4,0.45,4,1.72,3,12,0.73,0.87,26,1.18,115.2,17
6,5,0.45,6,1.63,4,8,0.89,0.87,20,0.67,91.47,11
10,5,0.46,6,1.96,4,8,0.96,0.89,21,0.77,110.52,10
8,4,0.32,6,1.38,3,9,0.76,0.67,32,0.58,38.0,14
9,3,0.32,6,1.62,2,8,0.98,0.73,22,0.51,103.2,13
10,4,0.35,4,1.52,4,8,0.94,0.59,30,0.37,73.88,17
10,4,0.3,6,1.68,3,12,0.74,0.71,26,0.49,40.94,19
9,6,0.29,4,1.25,4,12,0.53,0.58,33,1.0,105.05,18
7,5,0.53,7,1.42,4,9,0.94,0.68,31,0.45,102.5,16
10,5,0.37,6,1.56,3,10,0.88,0.82,25,0.5,106.87,16
10,4,0.54,6,1.87,2,11,0.86,0.8,22,1.01,88.56,14
10,4,0.51,7,1.66,3,8,0.74,0.87,31,0.58,113.39,11
9,5,0.54,5,1.96,2,11,0.6,0.75,28,1.09,78.18,19
8,5,0.54,7,1.6,3,10,0.61,0.89,21,0.89,73.85,12
9,6,0.31,4,1.93,2,12,0.89,0.88,23,0.72,78.1,10
6,3,0.55,5,1.95,2,14,0.78,0.74,28,0.93,108.01,16
7,4,0.52,4,1.88,3,14,0.93,0.72,24,0.62,9.57,13
6,3,0.6,6,2.0,2,9,1.0,0.72,32,1.02,30.89,13
6,4,0.48,6,1.44,3,8,0.6,0.87,24,0.76,30.72,12
9,4,0.34,5,1.55,4,12,0.79,0.82,29,0.78,80.53,16
6,5,0.56,6,1.78,4,13,0.69,0.77,26,0.83,38.92,10
10,3,0.42,7,1.38,4,9,0.55,0.9,32,0.57,30.63,17
10,4,0.37,6,1.7,3,10,0.81,0.82,27,1.02,79.27,9
10,5,0.27,6,1.64,4,12,0.67,0.72,20,0.81,112.43,19
10,5,0.48,6,1.45,3,10,0.92,0.69,23,0.65,24.67,19
8,4,0.4,7,1.34,3,10,0.61,0.74,28,0.33,118.66,19
7,5,0.49,7,1.8,4,9,0.98,0.61,28,0.91,38.26,17
10,3,0.53,5,1.41,4,10,0.74,0.7,29,0.64,104.51,15
8,5,0.3,5,1.59,4,11,0.88,0.66,20,0.75,18.09,19
6,4,0.53,6,1.43,3,8,0.78,0.64,32,0.96,20.03,9
6,3,0.3,6,1.5,3,11,0.76,0.84,27,0.45,20.75,19
9,3,0.44,5,1.92,4,9,0.77,0.83,21,0.77,102.7,13
10,4,0.26,5,1.85,3,11,0.78,0.8,28,1.18,76.89,16
8,3,0.53,5,1.27,4,12,0.67,0.76,26,0.57,106.81,19
8,4,0.32,5,1.81,3,8,0.67,0.65,28,1.09,92.67,18
9,6,0.43,5,1.78,4,8,0.74,0.65,22,0.75,52.72,14
6,3,0.27,6,1.68,4,11,0.58,0.87,26,0.32,45.68,15
10,6,0.33,5,1.84,2,9,0.87,0.63,25,0.51,119.36,18
6,4,0.54,5,1.27,3,12,0.99,0.82,28,0.42,46.07,10
6,4,0.3,4,1.81,4,12,0.77,0.9,30,0.39,6.89,9
8,5,0.26,4,1.45,3,13,0.73,0.6,24,0.81,91.62,10
8,3,0.36,7,1.25,2,11,0.77,0.73,31,0.78,115.5,13
8,4,0.43,7,1.46,3,11,0.94,0.62,29,0.32,112.13,11
7,5,0.4,7,1.3,3,13,0.84,0.64,24,0.9,46.5,13
6,5,0.6,6,1.74,2,8,0.59,0.75,30,1.13,43.8,18
9,6,0.55,4,1.31,4,14,0.54,0.86,24,0.87,107.35,18
9,5,0.42,4,1.87,2,14,0.51,0.65,21,0.7,77.78,15
10,4,0.42,7,1.54,4,10,0.56,0.63,25,0.52,118.47,10
8,3,0.48,5,1.77,3,14,0.84,0.87,24,0.87,46.51,10
7,4,0.48,7,1.92,4,10,0.57,0.63,29,0.44,50.36,13
6,5,0.26,4,1.34,3,11,0.85,0.74,24,0.99,110.6,14
9,5,0.57,6,1.91,4,12,0.76,0.62,24,0.93,117.93,13
7,5,0.44,7,1.94,2,8,0.58,0.75,30,0.66,15.51,9
6,4,0.45,5,1.35,2,11,0.82,0.73,24,0.59,27.51,16
10,4,0.58,4,1.44,2,8,0.71,0.57,32,1.04,61.79,10
7,5,0.4,7,1.79,2,9,0.69,0.75,30,0.92,31.93,14
8,3,0.34,6,1.22,2,8,0.82,0.87,20,0.32,76.92,13
10,5,0.37,7,1.78,4,12,0.89,0.81,29,0.99,17.0,17
7,4,0.46,4,1.64,3,13,0.7,0.73,20,0.81,62.88,18
8,5,0.33,5,1.46,2,8,0.55,0.7,26,0.36,27.24,14
8,5,0.35,6,1.93,4,13,0.92,0.62,25,0.41,62.83,13
10,5,0.36,4,1.26,4,10,0.53,0.84,22,1.03,104.22,15
9,6,0.4,6,1.7,2,14,0.69,0.8,26,0.98,58.97,16
10,3,0.47,4,1.22,4,14,0.74,0.71,22,1.08,104.03,9
6,4,0.4,7,1.22,4,8,0.72,0.88,25,1.01,111.42,19
8,6,0.43,6,1.87,2,10,0.82,0.67,28,1.07,49.5,11
8,4,0.27,4,1.54,3,8,0.7,0.62,20,0.82,58.64,14
6,4,0.36,7,1.88,4,13,0.97,0.83,32,0.59,21.32,15
6,5,0.31,7,1.28,3,8,0.67,0.79,28,0.38,20.25,18
6,3,0.57,7,1.81,2,8,0.93,0.69,34,0.31,48.65,12
9,6,0.3,7,1.4,4,13,0.75,0.56,22,1.08,73.36,15
6,6,0.27,4,1.62,2,11,0.66,0.85,26,0.31,75.12,19
6,5,0.5,6,1.43,3,9,0.89,0.6,34,0.53,22.06,13
7,5,0.25,6,1.38,2,9,0.64,0.87,23,0.73,44.13,14
6,3,0.46,5,1.66,3,8,0.82,0.65,26,0.67,42.04,16
6,3,0.4,5,1.59,4,12,0.57,0.7,29,1.19,113.14,19
7,4,0.58,4,1.69,3,8,0.95,0.85,26,0.57,118.91,16
8,4,0.51,4,1.61,4,8,0.76,0.79,27,0.37,42.05,17
7,6,0.42,5,1.42,3,13,0.78,0.67,25,1.09,104.63,10
7,4,0.53,5,1.62,3,12,0.76,0.66,27,0.73,65.48,9
6,6,0.4,4,1.26,3,11,0.57,0.55,33,0.33,35.06,11
9,3,0.38,4,1.75,4,13,0.93,0.72,28,1.18,10.36,16
9,4,0.59,4,1.58,4,10,0.59,0.62,34,0.81,8.23,16
9,4,0.45,4,1.66,3,11,0.9,0.55,30,1.02,38.88,19
6,6,0.56,6,1.91,3,13,0.51,0.74,23,1.0,37.53,14
9,6,0.53,7,1.61,2,9,0.59,0.83,32,1.16,58.4,10
9,3,0.29,6,1.5,2,9,0.55,0.67,25,0.59,71.19,10
7,6,0.29,6,1.64,2,9,0.92,0.85,23,0.76,67.97,17
9,6,0.35,5,1.85,3,14,0.91,0.68,22,0.83,81.15,17
10,4,0.59,5,1.86,2,12,0.55,0.66,29,0.49,37.34,9
7,6,0.26,6,1.38,2,13,0.63,0.88,33,0.97,56.5,14
6,4,0.45,7,1.55,4,8,0.73,0.67,28,0.7,24.87,15
10,3,0.51,7,1.97,2,14,0.93,0.68,32,1.04,44.26,13
10,4,0.46,6,1.95,4,8,0.63,0.74,29,0.58,91.78,17
9,4,0.4,7,1.46,2,12,0.92,0.81,27,0.86,102.87,14
9,4,0.42,6,1.72,4,12,0.94,0.76,31,1.1,15.08,11
8,5,0.56,4,1.86,4,14,0.9,0.86,22,0.92,24.4,16
7,6,0.29,6,1.72,2,12,0.94,0.81,29,0.3,106.44,11
9,3,0.39,6,1.31,2,9,0.82,0.57,21,0.92,85.61,11
9,4,0.49,7,1.3,4,10,0.74,0.77,21,0.79,22.91,12
10,5,0.51,4,1.37,3,14,0.91,0.56,33,0.83,104.64,18
8,5,0.48,5,1.51,2,10,0.98,0.57,25,1.12,83.27,18
8,6,0.32,4,2.0,4,12,0.81,0.8,34,1.13,70.71,10
6,5,0.3,4,1.74,4,14,0.56,0.6,33,0.56,16.78,12
10,4,0.39,6,1.22,4,10,0.92,0.79,21,0.58,31.34,18
8,4,0.41,7,1.42,2,13,0.79,0.57,29,1.05,68.06,9
9,5,0.59,4,1.94,2,12,0.92,0.84,25,1.09,109.43,15
10,5,0.47,4,1.37,3,8,0.88,0.9,31,0.96,16.37,17
8,6,0.58,7,1.47,4,14,0.57,0.72,25,1.0,116.08,11
8,5,0.33,7,1.39,4,13,0.51,0.59,34,0.57,100.89,16
7,4,0.46,7,1.58,2,14,0.54,0.8,28,1.01,26.85,17
9,6,0.3,4,1.4,2,10,0.54,0.85,25,0.68,89.74,12
10,5,0.42,4,1.93,3,11,0.65,0.63,25,0.59,108.77,18
8,5,0.51,7,1.31,2,13,0.5,0.74,34,0.45,55.07,12
9,3,0.27,4,1.41,4,9,0.55,0.72,32,0.62,102.35,10
7,3,0.27,6,1.81,4,8,0.7,0.64,26,1.09,111.65,19
10,5,0.51,4,1.26,3,12,0.65,0.65,29,1.06,79.06,10
7,3,0.36,7,1.92,2,12,0.5,0.59,34,1.17,104.01,9
10,4,0.36,5,1.31,3,9,0.9,0.64,30,0.82,45.24,10
7,5,0.28,5,1.74,2,13,0.84,0.71,22,0.34,29.74,17
7,5,0.25,6,1.33,2,10,0.68,0.59,25,0.42,74.47,9
10,6,0.6,5,1.34,3,10,0.88,0.58,23,0.47,6.84,18
8,5,0.51,6,1.64,2,11,0.65,0.59,30,1.09,66.82,18
10,4,0.34,5,1.65,2,11,0.96,0.62,22,0.94,43.84,15
6,6,0.31,7,1.89,2,10,0.61,0.72,28,0.84,109.95,13
