p,atr_p,mult,supertrend_atr,supertrend_factor,atrnowinput,atrAvginput,volatilityMultiplier,bodyratioMult,structureLookback,bufferMult,maxSlDistance,isStrongTrendMult
8,3,0.34,7,1.69,3,8,0.56,0.59,34,0.58,47.25,10
8,4,0.27,6,1.49,4,14,0.62,0.62,24,0.67,42.73,10
6,3,0.36,4,1.32,4,9,0.67,0.76,31,0.82,64.35,11
9,5,0.42,6,1.25,2,11,0.94,0.59,22,0.69,95.39,15
10,3,0.51,4,1.21,2,10,0.96,0.73,20,0.45,46.52,10
8,5,0.31,5,1.66,2,11,0.68,0.58,24,0.52,74.22,14
10,6,0.37,6,1.3,4,9,0.57,0.69,23,1.03,13.75,13
6,3,0.55,7,1.77,4,8,0.75,0.84,27,0.56,115.75,9
6,4,0.31,4,1.28,4,8,0.85,0.9,29,0.93,15.43,16
7,6,0.34,4,1.22,2,9,0.9,0.69,22,0.61,58.56,12
8,5,0.47,6,1.48,2,10,0.56,0.81,34,0.77,52.03,15
6,5,0.42,4,1.3,3,14,0.65,0.74,28,0.83,37.53,14
10,5,0.38,6,1.76,2,11,0.73,0.62,25,0.71,81.05,17
7,5,0.29,7,1.68,4,14,0.84,0.76,27,0.66,14.19,17
7,5,0.46,5,1.43,4,9,0.83,0.62,22,1.05,64.26,19
9,5,0.3,6,1.39,4,12,0.85,0.65,34,0.79,64.16,9
7,4,0.25,5,1.73,4,11,0.96,0.84,20,0.97,6.73,16
7,4,0.26,4,1.4,2,8,0.99,0.86,24,0.41,72.15,11
6,3,0.51,5,1.66,4,9,0.6,0.78,20,0.56,69.89,17
8,5,0.56,6,1.62,2,12,0.73,0.83,25,0.92,28.45,11
7,3,0.31,5,1.97,3,14,0.83,0.89,23,0.7,111.05,10
10,5,0.34,5,1.72,2,8,1.0,0.7,34,0.31,19.61,19
7,4,0.54,5,1.57,3,11,0.51,0.7,34,0.7,24.4,17
9,6,0.44,4,1.77,3,14,0.74,0.89,34,0.69,104.33,16
7,5,0.42,6,1.99,2,12,0.8,0.55,32,0.95,43.79,19
9,5,0.53,6,1.83,4,9,0.69,0.67,22,0.8,112.58,19
10,6,0.32,6,1.75,2,13,0.54,0.67,34,0.59,43.4,9
6,3,0.41,6,1.81,3,13,0.51,0.6,34,1.05,63.31,9
7,4,0.45,4,1.81,4,14,0.6,0.78,25,0.79,110.06,9
7,4,0.33,5,1.64,2,14,0.88,0.63,30,1.18,99.76,12
8,3,0.41,6,1.23,4,10,0.79,0.86,23,0.99,114.87,13
9,5,0.54,6,1.76,4,9,0.99,0.74,20,1.06,115.74,10
9,4,0.43,5,1.57,2,13,0.98,0.68,28,0.65,16.93,11
9,6,0.49,7,1.94,3,9,0.98,0.73,27,0.67,41.53,19
7,6,0.58,6,1.83,2,12,0.52,0.57,25,1.01,69.44,18
6,5,0.34,7,1.92,4,9,0.74,0.85,20,0.93,86.04,13
10,4,0.25,7,1.62,4,10,0.74,0.9,20,0.3,118.22,19
9,5,0.27,5,1.39,4,14,0.59,0.72,34,0.31,53.14,16
7,5,0.33,4,1.37,3,10,0.64,0.77,27,1.09,72.46,15
10,6,0.46,5,1.66,3,8,0.57,0.76,25,1.1,84.92,9
8,5,0.39,6,1.82,2,11,0.89,0.63,33,0.58,50.44,19
6,6,0.33,6,1.67,3,9,0.57,0.81,31,0.37,110.45,10
8,3,0.59,6,1.78,4,9,0.61,0.69,29,0.99,72.04,9
9,4,0.28,7,1.94,3,10,0.54,0.79,30,1.08,58.28,11
6,6,0.59,4,1.82,3,9,0.58,0.78,32,0.91,77.66,15
6,6,0.59,5,1.21,2,12,0.82,0.81,20,0.42,107.05,12
7,6,0.29,4,1.5,3,14,0.81,0.75,34,0.4,44.32,11
6,5,0.34,5,1.99,4,12,0.59,0.89,28,0.68,104.5,15
10,6,0.5,6,1.86,2,14,0.55,0.71,30,1.01,65.59,10
9,3,0.27,6,1.9,2,12,0.79,0.69,31,0.4,42.76,18
6,3,0.52,7,1.63,3,8,0.6,0.83,21,1.0,95.64,19
9,5,0.53,6,1.83,2,10,0.67,0.86,27,0.96,107.23,17
6,4,0.58,5,1.24,2,10,0.61,0.81,26,0.72,27.45,14
7,5,0.6,6,1.52,3,10,0.96,0.69,23,0.38,114.68,18
7,5,0.59,4,1.83,3,12,0.76,0.88,27,0.99,43.64,10
7,5,0.48,5,1.66,2,13,0.85,0.59,30,0.55,96.71,9
9,5,0.27,4,1.51,4,14,0.71,0.62,22,0.4,71.41,14
7,3,0.46,4,1.24,3,13,0.73,0.8,22,0.39,80.56,13
10,5,0.35,5,1.2,4,9,0.87,0.86,28,0.82,79.29,11
8,4,0.5,7,1.75,2,10,0.97,0.59,21,1.17,72.86,16
7,5,0.45,4,1.87,2,8,0.91,0.65,25,1.08,23.47,11
8,3,0.54,6,1.54,2,13,1.0,0.61,20,1.11,6.42,9
10,3,0.44,7,1.61,4,10,0.95,0.68,33,0.9,32.7,15
7,5,0.58,4,1.78,4,13,0.56,0.79,34,0.62,75.48,9
9,6,0.56,7,1.88,2,13,0.73,0.75,33,0.5,7.8,16
6,5,0.59,7,1.95,2,11,0.64,0.62,20,0.52,109.21,9
10,6,0.49,4,1.24,4,11,0.67,0.79,33,1.15,47.72,9
10,6,0.44,7,1.42,2,12,0.51,0.74,26,0.79,92.83,11
10,6,0.55,4,1.5,4,8,0.8,0.67,31,0.39,107.73,14
6,6,0.37,7,2.0,4,10,0.86,0.65,26,0.9,47.39,19
10,4,0.51,6,1.31,4,9,0.78,0.55,30,0.89,118.27,12
10,4,0.5,4,1.48,4,13,0.91,0.68,28,0.38,67.82,10
8,6,0.48,4,1.43,4,10,0.66,0.77,22,1.19,29.26,12
8,6,0.55,6,1.97,2,14,0.65,0.57,20,0.66,77.8,10
10,6,0.29,6,1.38,3,9,0.73,0.58,31,0.67,119.99,10
7,6,0.36,6,1.35,2,9,0.76,0.58,23,1.18,106.15,10
10,4,0.6,5,1.48,2,13,0.92,0.62,22,0.51,44.48,16
8,5,0.54,5,1.41,2,14,0.88,0.74,23,0.5,8.91,17
9,3,0.31,4,1.51,3,10,0.79,0.72,29,0.94,93.7,9
6,3,0.37,4,1.98,4,8,0.63,0.75,27,0.59,116.67,10
9,6,0.43,7,2.0,4,12,0.75,0.66,27,0.52,52.96,16
9,5,0.54,4,1.41,3,11,0.9,0.77,25,0.33,88.07,14
8,3,0.28,6,1.97,3,10,0.87,0.76,29,0.88,78.95,18
8,3,0.53,7,1.85,3,9,0.51,0.67,33,0.48,88.11,12
7,6,0.59,5,1.36,3,14,0.94,0.83,21,0.54,19.34,14
8,3,0.44,7,1.27,2,13,0.68,0.56,21,0.7,108.21,14
8,6,0.34,6,1.78,2,13,0.63,0.63,23,1.11,12.14,10
9,4,0.4,5,1.75,4,8,0.98,0.59,34,0.35,44.04,17
10,4,0.58,6,1.43,4,10,0.55,0.84,30,0.58,20.46,14
8,5,0.43,7,1.63,3,11,0.81,0.57,28,0.96,40.32,17
9,3,0.41,4,1.58,4,14,0.75,0.74,31,0.3,110.42,10
10,5,0.37,4,1.84,2,14,0.59,0.86,33,1.08,59.81,18
7,5,0.53,7,1.89,3,11,0.94,0.85,34,0.58,51.22,12
8,5,0.59,5,1.69,2,13,0.5,0.7,23,1.14,112.3,19
8,5,0.46,7,1.62,3,10,0.53,0.63,24,0.48,113.74,13
6,5,0.54,4,1.86,2,12,0.85,0.65,28,0.93,72.62,14
8,3,0.53,4,1.37,2,9,0.88,0.71,21,1.01,71.31,17
7,4,0.29,4,1.97,3,14,0.65,0.6,29,0.8,22.48,10
10,6,0.58,7,1.86,4,10,0.68,0.66,20,0.89,56.95,13
7,6,0.44,7,1.4,2,12,0.96,0.74,28,0.71,29.56,19
6,5,0.38,5,1.96,4,10,0.83,0.65,23,0.66,51.48,14
6,6,0.35,5,1.22,4,10,0.75,0.56,28,0.77,34.58,13
10,3,0.34,6,1.63,4,14,0.78,0.82,20,0.92,36.18,11
6,6,0.39,5,1.77,4,12,0.58,0.73,29,0.31,17.01,17
10,5,0.58,5,1.48,4,13,0.59,0.56,29,0.49,47.32,18
6,5,0.39,7,1.39,3,8,0.62,0.8,22,1.04,101.54,14
9,6,0.27,4,1.37,4,11,0.97,0.63,21,0.37,86.32,13
8,5,0.26,6,1.49,2,12,0.82,0.57,27,0.34,92.9,13
7,5,0.41,7,1.84,3,12,0.61,0.56,23,0.96,27.42,13
10,4,0.28,7,1.51,4,12,0.78,0.83,29,0.89,119.69,12
8,5,0.47,6,1.24,4,9,0.74,0.79,30,0.46,69.45,19
10,4,0.37,6,1.81,2,12,0.67,0.68,28,0.86,11.57,14
7,5,0.32,5,1.69,3,9,0.83,0.88,34,0.99,95.74,15
8,5,0.52,5,1.6,2,13,0.74,0.73,30,0.65,11.25,14
9,6,0.32,7,1.69,4,9,0.98,0.8,33,0.91,10.84,11
6,4,0.35,7,1.44,2,9,0.63,0.65,34,0.38,59.3,19
6,5,0.43,5,1.58,2,14,0.88,0.82,34,0.64,11.17,12
6,5,0.33,6,1.75,3,9,0.76,0.77,32,0.74,9.85,13
8,6,0.54,4,1.86,4,9,0.54,0.59,33,0.91,43.16,14
10,4,0.58,5,1.43,4,11,0.8,0.61,34,0.54,62.42,18
8,6,0.26,5,1.25,4,11,0.71,0.77,33,1.08,100.02,12
6,5,0.34,4,1.91,2,9,0.99,0.83,33,0.71,72.84,17
9,3,0.42,5,1.57,4,12,0.75,0.77,20,0.73,86.47,16
10,5,0.29,7,1.29,2,11,0.95,0.67,22,0.57,112.91,12
8,5,0.25,4,1.83,3,10,0.58,0.65,32,0.85,76.65,14
10,4,0.55,5,1.25,2,10,0.56,0.64,24,0.87,37.87,15
8,5,0.4,5,1.73,4,14,0.94,0.72,25,1.08,90.55,18
10,5,0.4,6,1.27,2,9,0.88,0.65,27,0.89,7.37,15
9,6,0.48,5,1.95,2,8,0.94,0.81,32,0.74,94.77,14
7,4,0.36,5,1.28,3,8,0.5,0.88,25,0.89,78.65,13
8,6,0.44,6,1.27,3,11,0.64,0.67,20,0.48,49.29,9
6,3,0.28,5,1.86,3,10,0.87,0.83,34,0.92,94.61,19
9,3,0.41,7,1.65,3,8,0.57,0.88,23,0.39,96.91,19
6,3,0.36,7,2.0,2,13,0.81,0.57,20,0.82,58.31,19
6,4,0.5,7,1.64,3,11,0.95,0.79,23,0.53,68.27,10
8,3,0.28,7,1.56,3,11,0.91,0.74,20,1.11,33.7,14
7,5,0.31,5,1.21,3,11,0.9,0.81,24,0.69,35.76,19
